Keysight E1733A String Table
English

[3142],Stop sampling when the target passes the designated position (both direction),Stop sampling when the target passes the designated position (both direction)
[3143],Enter total sampling points,Enter total sampling points
[3144],Enter total sampling time,Enter total sampling time
[3145],Stop sampling when data is lost,Stop sampling when data is lost
[3146],Stop sampling when error occurs,Stop sampling when error occurs
[3147],Select the mode of stop sampling,Select the mode of stop sampling
[3148],Enter the value of the cover factor,Enter the value of the cover factor
[3149],Select the calculation method of the flatness,Select the calculation method of the flatness
[3150],Select the name of the printer,Select the name of the printer
[3151],Enter the number of the copies to be printed,Enter the number of the copies to be printed
[3152],Select the orientation of the print,Select the orientation of the print
[3153],Select the content of the print,Select the content of the print
[3154],Select the display mode of the environmental parameters,Select the display mode of the environmental parameters
[3155],Display data in the graph,Display data in the graph
[3156],Graphical analysis options,Graphical analysis options
[3157],Data analysis options,Data analysis options
[3158],Select to display the slope of the fitting line,Select to display the slope of the fitting line
[3159],Select measurement standard,Select measurement standard
[3160],Unselect to cancel the modification for the standard,Unselect to cancel the modification for the standard
[3161],Enter the name of the operator for the operation,Enter the name of the operator for the operation
[3162],Enter the location of the measurement,Enter the location of the measurement
[3163],Enter the name of the machine,Enter the name of the machine
[3164],Enter the type of the machine,Enter the type of the machine
[3165],Enter the serial number of the machine,Enter the serial number of the machine
[3166],Enter the model number of the machine,Enter the model number of the machine
[3167],Enter the property number of the machine,Enter the property number of the machine
[3168],Enter the calibration date,Enter the calibration date
[3169],The file name for the saved settings,The file name for the saved settings
[3170],Enter other notes to be saved,Enter other notes to be saved
[3171],Enter the type of the device to be measured,Enter the type of the device to be measured
[3172],Enter the compensation method for the device to be measured,Enter the compensation method for the device to be measured
[3173],Enter the feed speed for the measurement,Enter the feed speed for the measurement
[3174],Enter the dwell time for the object at each position,Enter the dwell time for the object at each position
[3175],Enter the thermal coefficient of the device to be measured,Enter the thermal coefficient of the device to be measured
[3176],Select if NDE correction is used,Select if NDE correction is used
[3177],Enter the name and serial number of the instrument used for the measurement,Enter the name and serial number of the instrument used for the measurement
[3178],Enter the locations of the axes not used in the calibration,Enter the locations of the axes not used in the calibration
[3179],Enter the reference bias of the tool in X direction,Enter the reference bias of the tool in X direction
[3180],Enter the reference bias of the device in X direction,Enter the reference bias of the device in X direction
[3181],Enter the reference bias of the tool in Y direction,Enter the reference bias of the tool in Y direction
[3182],Enter the reference bias of the tool in Y direction,Enter the reference bias of the tool in Y direction
[3183],Enter the reference bias of the device in Y direction,Enter the reference bias of the device in Y direction
[3184],Enter the reference bias of the device in Y direction,Enter the reference bias of the device in Y direction
[3185],Enter the coordinate of the material sensor 1,Enter the coordinate of the material sensor 1
[3186],Enter the coordinate of the material sensor 2,Enter the coordinate of the material sensor 2
[3187],Enter the coordinate of the air sensor,Enter the coordinate of the air sensor
[3188],Enter the coordinate of the material sensor 3,Enter the coordinate of the material sensor 3
[3189],The update time of the sensor data in the compensation program,The update time of the sensor data in the compensation program
[3190],Enter the maximum difference between the environmental temperature and 20 degree C during the measurement,Enter the maximum difference between the environmental temperature and 20 degree C during the measurement
[3191],Enter the maximum error of the material sensors used during the measurement,Enter the maximum error of the material sensors used during the measurement
[3192],The maximum length of the measurement,The maximum length of the measurement
[3193],The error range of the instruments used in the measurement,The error range of the instruments used in the measurement
[3194],Enter the estimated error from the optic alignment in the measurement,Enter the estimated error from the optic alignment in the measurement
[3195],Enter the uncertainty of the expansion coefficient in the measurement,Enter the uncertainty of the expansion coefficient in the measurement
[3196],Enter the estimated error from the change of the environmental parameters in the measurement,Enter the estimated error from the change of the environmental parameters in the measurement
[3197],Select if the instruments used in the measurement are calibrated,Select if the instruments used in the measurement are calibrated
[3198],Select the serial number of the E1735A for the second axis,Select the serial number of the E1735A for the second axis
[3199],Select the serial number of the E1736A for the second axis,Select the serial number of the E1736A for the second axis
[3200],Select the serial number of the E1735A for the first axis,Select the serial number of the E1735A for the first axis
[3201],Select the serial number of the E1736A for the first axis,Select the serial number of the E1736A for the first axis
